"id","name","province_id"
10,Quận Tây Hồ,1
11,Huyện Mê Linh,1
12,Huyện Thanh Trì,1
13,Huyện Ứng Hòa,1
14,Quận Cầu Giấy,1
15,Huyện Phúc Thọ,1
16,Huyện Thanh Oai,1
17,Huyện Mỹ Đức,1
18,Thị Xã Sơn Tây,1
19,Huyện Đan Phượng,1
20,Quận Long Biên,1
21,Huyện Quốc Oai,1
22,Quận Ba Đình,1
23,Quận Thanh Xuân,1
24,Quận Đống Đa,1
25,Quận Nam Từ Liêm,1
26,Quận Bắc Từ Liêm,1
27,Huyện Phú Xuyên,1
28,Huyện Đông Anh,1
30,Quận Hà Đông,1
31,Huyện Thường Tín,1
32,Quận 6,2
33,Quận 5,2
34,Quận 3,2
35,Quận Tân Bình,2
36,Huyện Củ Chi,2
37,Huyện Nhà Bè,2
38,Quận 10,2
39,Quận 7,2
40,Quận 12,2
42,Huyện Cần Giờ,2
43,Quận 1,2
44,Quận Gò Vấp,2
45,Quận 11,2
46,Quận Bình Tân,2
47,Quận 8,2
48,Quận 4,2
49,Huyện Bình Chánh,2
51,Quận Bình Thạnh,2
52,Quận Phú Nhuận,2
54,Quận Tân Phú,2
55,Huyện Hóc Môn,2
1231,Thành Phố Thủ Đức,2
56,Quận Hồng Bàng,3
57,Quận Đồ Sơn,3
58,Quận Lê Chân,3
59,Huyện An Dương,3
60,Huyện Đảo Bạch Long Vĩ,3
61,Huyện Kiến Thụy,3
62,Quận Dương Kinh,3
63,Huyện An Lão,3
64,Huyện Vĩnh Bảo,3
65,Quận Kiến An,3
66,Huyện Đảo Cát Hải,3
67,Huyện Thủy Nguyên,3
68,Quận Ngô Quyền,3
69,Huyện Tiên Lãng,3
70,Quận Hải An,3
71,Quận Cẩm Lệ,4
72,Quận Thanh Khê,4
73,Quận Ngũ Hành Sơn,4
74,Quận Hải Châu,4
75,Quận Sơn Trà,4
76,Quận Liên Chiểu,4
77,Huyện Hoàng Sa,4
78,Huyện Điện Bàn,4
79,Huyện Hòa Vang,4
80,Quận Ô Môn,5
81,Huyện Thới Lai,5
82,Quận Ninh Kiều,5
83,Quận Thốt Nốt,5
85,Huyện Vĩnh Thạnh,5
87,Huyện Phong Điền,5
89,Quận Cái Răng,5
90,Huyện Cờ Đỏ,5
91,Quận Bình Thủy,5
92,Huyện Tân Phú Đông,6
93,Huyện Chợ Gạo,6
94,Huyện Gò Công Tây,6
95,Huyện Cái Bè,6
96,Huyện Gò Công Đông,6
97,Huyện Châu Thành,6
98,Huyện Tân Phước,6
99,Thị Xã Gò Công,6
100,Huyện Cai Lậy,6
101,Thành Phố Mỹ Tho,6
726,Thị Xã Cai Lậy,6
102,Thành Phố Vị Thanh,8
103,Huyện Châu Thành A,8
104,Huyện Long Mỹ,8
105,Huyện Châu Thành ,8
106,Huyện Vị Thủy,8
107,Thành Phố Ngã Bảy,8
108,Huyện Phụng Hiệp,8
109,Thị Xã Long Mỹ,8
111,Huyện Tuy Đức,9
112,Thành Phố Gia Nghĩa,9
113,Huyện Cư Jút,9
114,Huyện Krông Nô,9
115,Huyện Đắk Song,9
116,Huyện Đắk Mil,9
117,Huyện Đắk Rlấp,9
110,Huyện Đắk Glong,9
118,Huyện Yên Lạc,10
119,Huyện Tam Dương,10
120,Huyện Bình Xuyên,10
121,Huyện Sông Lô,10
122,Thành Phố Phúc Yên,10
123,Thành Phố Vĩnh Yên,10
124,Huỵên Tam Đảo,10
125,Huyện Vĩnh Tường,10
126,Huyện Lập Thạch,10
127,Huyện Lương Tài,11
128,Thành Phố Bắc Ninh,11
129,Huyện Gia Bình,11
130,Huyện Thuận Thành,11
131,Huyện Quế Võ,11
132,Huyện Yên Phong,11
133,Huyện Tiên Du,11
134,Thị Xã Từ Sơn,11
374,Huyện Đô Lương,33
135,Thành Phố Hải Dương,12
136,Huyện Ninh Giang,12
137,Huyện Tứ Kỳ,12
138,Huyện Thanh Hà ,12
139,Huyện Cẩm Giàng,12
140,Huyện Thanh Miện,12
141,Huyện Nam Sách,12
142,Thị Xã Kinh Môn,12
143,Thành Phố Chí Linh,12
144,Huyện Bình Giang,12
145,Huyện Gia Lộc,12
146,Huyện Kim Thành ,12
147,Huyện Phù Cừ,13
148,Huyện Văn Lâm,13
149,Huyện Khoái Châu,13
150,Huyện Ân Thi,13
151,Huyện Văn Giang,13
152,Thị Xã Mỹ Hào,13
153,Huyện Kim Động,13
154,Huyện Tiên Lữ ,13
155,Huyện Yên Mỹ,13
156,Thành Phố Hưng Yên,13
157,Thị Xã Duy Tiên,14
158,Huyện Kim Bảng,14
159,Huyện Lý Nhân,14
160,Thành Phố Phủ Lý,14
161,Huyện Thanh Liêm,14
162,Huyện Bình Lục,14
163,Huyện Nam Trực,15
164,Huyện Trực Ninh,15
165,Huyện Mỹ Lộc,15
166,Huyện Giao Thủy,15
167,Huyện Nghĩa Hưng,15
168,Thành Phố Nam Định,15
169,Huyện Hải Hậu,15
170,Huyện Vụ Bản,15
171,Huyện Xuân Trường,15
