"id","district_id","name"
8,1,Phường Hàng Bông
9,1,Phường Tràng Tiền
10,1,Phường Phan Chu Trinh
11,1,Phường Chương Dương Độ
12,1,Phường Cửa Nam
13,1,Phường Trần Hưng Đạo
14,1,Phường Cửa Đông
15,1,Phường Đồng Xuân
16,1,Phường Hàng Bạc
17,1,Phường Hàng Bồ
18,1,Phường Hàng Trống
19,2,Xã Tiên Phong
20,2,Xã Ba Trại
21,2,Xã Yên Bài
22,2,Xã Khánh Thượng
23,2,Xã Ba Vì
24,2,Thị Trấn Tây Đằng
25,2,Xã Phú Cường
26,2,Xã Cổ Đô
27,2,Xã Tản Hồng
28,2,Xã Vạn Thắng
29,2,Xã Phong Vân
30,2,Xã Phú Đông
31,2,Xã Phú Phương
32,2,Xã Phú Châu
33,2,Xã Thái Hòa
34,2,Xã Đồng Thái
35,2,Xã Phú Sơn
36,2,Xã Minh Châu
37,2,Xã Vật Lại
38,2,Xã Chu Minh
39,2,Xã Tòng Bạt
40,2,Xã Cẩm Lĩnh
41,2,Xã Sơn Đà
42,2,Xã Đông Quang
43,2,Xã Thụy An
44,2,Xã Cam Thượng
45,2,Xã Thuần Mỹ
46,2,Xã Tản Lĩnh
47,2,Xã Vân Hòa
48,2,Xã Châu Sơn
49,2,Xã Minh Quang
50,3,Xã Lại Yên
51,3,Xã Cát Quế
52,3,Xã Kim Chung
53,3,Xã Song Phương
54,3,Xã Tiền Yên
55,3,Xã Dương Liễu
56,3,Xã An Khánh
57,3,Xã Yên Sở
58,3,Thị Trấn Trạm Trôi
59,3,Xã Đức Giang
60,3,Xã Sơn Đồng
61,3,Xã Vân Canh
62,3,Xã Vân Côn
63,3,Xã La Phù
64,3,Xã Di Trạch
65,3,Xã Đông La
66,3,Xã Đức Thượng
67,3,Xã Minh Khai
68,3,Xã An Thượng
69,3,Xã Đắc Sở
70,3,Đại Lộ Thăng Long
71,4,Phường Yên Sở
72,4,Phường Vĩnh Hưng
73,4,Phường Thịnh Liệt
74,4,Phường Định Công
75,4,Phường Đại Kim
76,4,Phường Hoàng Liệt
77,4,Phường Tân Mai
78,4,Phường Thanh Trì
79,4,Phường Trương Định
80,4,Phường Giáp Bát
81,4,Phường Hoàng Văn Thụ
82,4,Phường Tương Mai
83,4,Phường Lĩnh Nam
84,4,Phường Mai Động
85,4,Phường Trần Phú
86,4,Xã Thanh Liệt
87,5,Xã Canh Nậu
88,5,Xã Cẩm Yên
89,5,Xã Cần Kiệm
90,5,Xã Chàng Sơn
91,5,Xã Dị Nậu
92,5,Xã Đại Đồng
93,5,Xã Đồng Trúc
94,5,Xã Hạ Bằng
95,5,Xã Hương Ngải
96,5,Thị Trấn Liên Quan
97,5,Xã Tiến Xuân
